id,category_label,regulatory_status_label,short_description,compatibility_rationale,evidence_summary
commvault_commvault_cloud_virtual_server_agent_for_citrix_hypervisor,Backup,Unterstützt,"Technische Kompatibilitätsbewertung für Commvault Cloud Virtual Server Agent for Citrix Hypervisor auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Backup.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als unterstützt klassifiziert.,"Öffentliche Quellen von Commvault zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
bacula_systems_bacula_enterprise_xen_plugin,Backup,Unterstützt,"Technische Kompatibilitätsbewertung für Bacula Enterprise Xen Plugin auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Backup.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als unterstützt klassifiziert.,"Öffentliche Quellen von Bacula Systems zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
storware_storware_backup_and_recovery,Backup,Unterstützt,"Technische Kompatibilitätsbewertung für Storware Backup and Recovery auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Backup.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als unterstützt klassifiziert.,"Öffentliche Quellen von Storware zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
sep_sep_sesam,Backup,Unterstützt,"Technische Kompatibilitätsbewertung für SEP sesam auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Backup.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als unterstützt klassifiziert.,"Öffentliche Quellen von SEP zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
acronis_acronis_cyber_protect,Backup,Teilweise,"Technische Kompatibilitätsbewertung für Acronis Cyber Protect auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Backup.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als teilweise klassifiziert.,"Öffentliche Quellen von Acronis zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
veritas_backup_exec_25,Backup,Teilweise,"Technische Kompatibilitätsbewertung für Backup Exec 25 auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Backup.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als teilweise klassifiziert.,"Öffentliche Quellen von Veritas zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
veeam_veeam_backup_replication_v13,Backup,Teilweise,"Technische Kompatibilitätsbewertung für Veeam Backup & Replication v13 auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Backup.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als teilweise klassifiziert.,"Öffentliche Quellen von Veeam zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
microsoft_windows_11,Gastbetriebssystem,Unterstützt,"Technische Kompatibilitätsbewertung für Windows 11 auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Gastbetriebssystem.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als unterstützt klassifiziert.,"Öffentliche Quellen von Microsoft zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
microsoft_windows_server_2025,Gastbetriebssystem,Unterstützt,"Technische Kompatibilitätsbewertung für Windows Server 2025 auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Gastbetriebssystem.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als unterstützt klassifiziert.,"Öffentliche Quellen von Microsoft zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
red_hat_red_hat_enterprise_linux_9,Gastbetriebssystem,Unterstützt,"Technische Kompatibilitätsbewertung für Red Hat Enterprise Linux 9 auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Gastbetriebssystem.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als unterstützt klassifiziert.,"Öffentliche Quellen von Red Hat zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
red_hat_red_hat_enterprise_linux_10_preview,Gastbetriebssystem,Beta,"Technische Kompatibilitätsbewertung für Red Hat Enterprise Linux 10 preview auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Gastbetriebssystem.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als beta klassifiziert.,"Öffentliche Quellen von Red Hat zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
suse_suse_linux_enterprise_server_15_sp6,Gastbetriebssystem,Unterstützt,"Technische Kompatibilitätsbewertung für SUSE Linux Enterprise Server 15 SP6 auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Gastbetriebssystem.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als unterstützt klassifiziert.,"Öffentliche Quellen von SUSE zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
suse_suse_linux_enterprise_server_12_sp5,Gastbetriebssystem,Legacy,"Technische Kompatibilitätsbewertung für SUSE Linux Enterprise Server 12 SP5 auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Gastbetriebssystem.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als legacy klassifiziert.,"Öffentliche Quellen von SUSE zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
oracle_oracle_linux_8,Gastbetriebssystem,Unterstützt,"Technische Kompatibilitätsbewertung für Oracle Linux 8 auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Gastbetriebssystem.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als unterstützt klassifiziert.,"Öffentliche Quellen von Oracle zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
debian_debian_12_bookworm,Gastbetriebssystem,Unterstützt,"Technische Kompatibilitätsbewertung für Debian 12 Bookworm auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Gastbetriebssystem.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als unterstützt klassifiziert.,"Öffentliche Quellen von Debian zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
canonical_ubuntu_24_04_lts,Gastbetriebssystem,Unterstützt,"Technische Kompatibilitätsbewertung für Ubuntu 24.04 LTS auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Gastbetriebssystem.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als unterstützt klassifiziert.,"Öffentliche Quellen von Canonical zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
rocky_linux_rocky_linux_9,Gastbetriebssystem,Unterstützt,"Technische Kompatibilitätsbewertung für Rocky Linux 9 auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Gastbetriebssystem.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als unterstützt klassifiziert.,"Öffentliche Quellen von Rocky Linux zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
the_freebsd_project_freebsd,Gastbetriebssystem,Nicht öffentlich unterstützt,"Technische Kompatibilitätsbewertung für FreeBSD auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Gastbetriebssystem.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als nicht öffentlich unterstützt klassifiziert.,"Öffentliche Quellen von The FreeBSD Project zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
microsoft_sql_server,Datenbank,Teilweise,"Technische Kompatibilitätsbewertung für SQL Server auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Datenbank.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als teilweise klassifiziert.,"Öffentliche Quellen von Microsoft zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
microsoft_exchange_server,Collaboration,Teilweise,"Technische Kompatibilitätsbewertung für Exchange Server auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Collaboration.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als teilweise klassifiziert.,"Öffentliche Quellen von Microsoft zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
microsoft_sharepoint_server,Collaboration,Teilweise,"Technische Kompatibilitätsbewertung für SharePoint Server auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Collaboration.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als teilweise klassifiziert.,"Öffentliche Quellen von Microsoft zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
oracle_oracle_database,Datenbank,Nicht öffentlich unterstützt,"Technische Kompatibilitätsbewertung für Oracle Database auf Citrix Hypervisor/XenServer, klassifiziert im Bereich Datenbank.",Die Bewertung basiert auf öffentlich verfügbarer Herstellerdokumentation und XenServer-spezifischen Support-Hinweisen. Die Kompatibilität ist als nicht öffentlich unterstützt klassifiziert.,"Öffentliche Quellen von Oracle zeigen den Support- oder Einschränkungsgrad, der für die XenServer-Kompatibilität berücksichtigt wurde."
