id,category_label,regulatory_status_label,short_description,compatibility_rationale,evidence_summary
commvault_commvault_cloud_virtual_server_agent_for_citrix_hypervisor,Backup,Supported,"Technical compatibility assessment for Commvault Cloud Virtual Server Agent for Citrix Hypervisor on Citrix Hypervisor/XenServer, classified in the backup domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as supported.,Public sources for Commvault indicate the level of support or limitation considered for XenServer compatibility.
bacula_systems_bacula_enterprise_xen_plugin,Backup,Supported,"Technical compatibility assessment for Bacula Enterprise Xen Plugin on Citrix Hypervisor/XenServer, classified in the backup domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as supported.,Public sources for Bacula Systems indicate the level of support or limitation considered for XenServer compatibility.
storware_storware_backup_and_recovery,Backup,Supported,"Technical compatibility assessment for Storware Backup and Recovery on Citrix Hypervisor/XenServer, classified in the backup domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as supported.,Public sources for Storware indicate the level of support or limitation considered for XenServer compatibility.
sep_sep_sesam,Backup,Supported,"Technical compatibility assessment for SEP sesam on Citrix Hypervisor/XenServer, classified in the backup domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as supported.,Public sources for SEP indicate the level of support or limitation considered for XenServer compatibility.
acronis_acronis_cyber_protect,Backup,Partial,"Technical compatibility assessment for Acronis Cyber Protect on Citrix Hypervisor/XenServer, classified in the backup domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as partial.,Public sources for Acronis indicate the level of support or limitation considered for XenServer compatibility.
veritas_backup_exec_25,Backup,Partial,"Technical compatibility assessment for Backup Exec 25 on Citrix Hypervisor/XenServer, classified in the backup domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as partial.,Public sources for Veritas indicate the level of support or limitation considered for XenServer compatibility.
veeam_veeam_backup_replication_v13,Backup,Partial,"Technical compatibility assessment for Veeam Backup & Replication v13 on Citrix Hypervisor/XenServer, classified in the backup domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as partial.,Public sources for Veeam indicate the level of support or limitation considered for XenServer compatibility.
microsoft_windows_11,Guest operating system,Supported,"Technical compatibility assessment for Windows 11 on Citrix Hypervisor/XenServer, classified in the guest operating system domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as supported.,Public sources for Microsoft indicate the level of support or limitation considered for XenServer compatibility.
microsoft_windows_server_2025,Guest operating system,Supported,"Technical compatibility assessment for Windows Server 2025 on Citrix Hypervisor/XenServer, classified in the guest operating system domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as supported.,Public sources for Microsoft indicate the level of support or limitation considered for XenServer compatibility.
red_hat_red_hat_enterprise_linux_9,Guest operating system,Supported,"Technical compatibility assessment for Red Hat Enterprise Linux 9 on Citrix Hypervisor/XenServer, classified in the guest operating system domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as supported.,Public sources for Red Hat indicate the level of support or limitation considered for XenServer compatibility.
red_hat_red_hat_enterprise_linux_10_preview,Guest operating system,Beta,"Technical compatibility assessment for Red Hat Enterprise Linux 10 preview on Citrix Hypervisor/XenServer, classified in the guest operating system domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as beta.,Public sources for Red Hat indicate the level of support or limitation considered for XenServer compatibility.
suse_suse_linux_enterprise_server_15_sp6,Guest operating system,Supported,"Technical compatibility assessment for SUSE Linux Enterprise Server 15 SP6 on Citrix Hypervisor/XenServer, classified in the guest operating system domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as supported.,Public sources for SUSE indicate the level of support or limitation considered for XenServer compatibility.
suse_suse_linux_enterprise_server_12_sp5,Guest operating system,Legacy,"Technical compatibility assessment for SUSE Linux Enterprise Server 12 SP5 on Citrix Hypervisor/XenServer, classified in the guest operating system domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as legacy.,Public sources for SUSE indicate the level of support or limitation considered for XenServer compatibility.
oracle_oracle_linux_8,Guest operating system,Supported,"Technical compatibility assessment for Oracle Linux 8 on Citrix Hypervisor/XenServer, classified in the guest operating system domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as supported.,Public sources for Oracle indicate the level of support or limitation considered for XenServer compatibility.
debian_debian_12_bookworm,Guest operating system,Supported,"Technical compatibility assessment for Debian 12 Bookworm on Citrix Hypervisor/XenServer, classified in the guest operating system domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as supported.,Public sources for Debian indicate the level of support or limitation considered for XenServer compatibility.
canonical_ubuntu_24_04_lts,Guest operating system,Supported,"Technical compatibility assessment for Ubuntu 24.04 LTS on Citrix Hypervisor/XenServer, classified in the guest operating system domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as supported.,Public sources for Canonical indicate the level of support or limitation considered for XenServer compatibility.
rocky_linux_rocky_linux_9,Guest operating system,Supported,"Technical compatibility assessment for Rocky Linux 9 on Citrix Hypervisor/XenServer, classified in the guest operating system domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as supported.,Public sources for Rocky Linux indicate the level of support or limitation considered for XenServer compatibility.
the_freebsd_project_freebsd,Guest operating system,Not publicly supported,"Technical compatibility assessment for FreeBSD on Citrix Hypervisor/XenServer, classified in the guest operating system domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as not publicly supported.,Public sources for The FreeBSD Project indicate the level of support or limitation considered for XenServer compatibility.
microsoft_sql_server,Database,Partial,"Technical compatibility assessment for SQL Server on Citrix Hypervisor/XenServer, classified in the database domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as partial.,Public sources for Microsoft indicate the level of support or limitation considered for XenServer compatibility.
microsoft_exchange_server,Collaboration,Partial,"Technical compatibility assessment for Exchange Server on Citrix Hypervisor/XenServer, classified in the collaboration domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as partial.,Public sources for Microsoft indicate the level of support or limitation considered for XenServer compatibility.
microsoft_sharepoint_server,Collaboration,Partial,"Technical compatibility assessment for SharePoint Server on Citrix Hypervisor/XenServer, classified in the collaboration domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as partial.,Public sources for Microsoft indicate the level of support or limitation considered for XenServer compatibility.
oracle_oracle_database,Database,Not publicly supported,"Technical compatibility assessment for Oracle Database on Citrix Hypervisor/XenServer, classified in the database domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as not publicly supported.,Public sources for Oracle indicate the level of support or limitation considered for XenServer compatibility.
oracle_oracle_fusion_middleware_weblogic_server,Middleware,Not publicly supported,"Technical compatibility assessment for Oracle Fusion Middleware / WebLogic Server on Citrix Hypervisor/XenServer, classified in the middleware domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as not publicly supported.,Public sources for Oracle indicate the level of support or limitation considered for XenServer compatibility.
sap_sap_hana_2_0,Database,Not publicly supported,"Technical compatibility assessment for SAP HANA 2.0 on Citrix Hypervisor/XenServer, classified in the database domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as not publicly supported.,Public sources for SAP indicate the level of support or limitation considered for XenServer compatibility.
sap_sap_business_one_version_for_sap_hana,ERP,Partial,"Technical compatibility assessment for SAP Business One version for SAP HANA on Citrix Hypervisor/XenServer, classified in the erp domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as partial.,Public sources for SAP indicate the level of support or limitation considered for XenServer compatibility.
zabbix_zabbix_xen_integration,Monitoring,Supported,"Technical compatibility assessment for Zabbix Xen integration on Citrix Hypervisor/XenServer, classified in the monitoring domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as supported.,Public sources for Zabbix indicate the level of support or limitation considered for XenServer compatibility.
paessler_prtg_xenserver_host_vm_sensors,Monitoring,Partial,"Technical compatibility assessment for PRTG XenServer Host/VM sensors on Citrix Hypervisor/XenServer, classified in the monitoring domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as partial.,Public sources for Paessler indicate the level of support or limitation considered for XenServer compatibility.
manageengine_opmanager_xenserver_monitoring,Monitoring,Supported,"Technical compatibility assessment for OpManager XenServer monitoring on Citrix Hypervisor/XenServer, classified in the monitoring domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as supported.,Public sources for ManageEngine indicate the level of support or limitation considered for XenServer compatibility.
solarwinds_server_application_monitor_citrix_hypervisor_template,Monitoring,Legacy,"Technical compatibility assessment for Server & Application Monitor Citrix Hypervisor template on Citrix Hypervisor/XenServer, classified in the monitoring domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as legacy.,Public sources for SolarWinds indicate the level of support or limitation considered for XenServer compatibility.
fortinet_fortigate_vm,Virtual appliance - network/security,Supported,"Technical compatibility assessment for FortiGate-VM on Citrix Hypervisor/XenServer, classified in the virtual appliance - network/security domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as supported.,Public sources for Fortinet indicate the level of support or limitation considered for XenServer compatibility.
sophos_sophos_firewall_virtual,Virtual appliance - network/security,Supported,"Technical compatibility assessment for Sophos Firewall Virtual on Citrix Hypervisor/XenServer, classified in the virtual appliance - network/security domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as supported.,Public sources for Sophos indicate the level of support or limitation considered for XenServer compatibility.
check_point_cloudguard_network_security_for_private_cloud_hypervisors,Virtual appliance - network/security,Not publicly supported,"Technical compatibility assessment for CloudGuard Network Security for Private Cloud Hypervisors on Citrix Hypervisor/XenServer, classified in the virtual appliance - network/security domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as not publicly supported.,Public sources for Check Point indicate the level of support or limitation considered for XenServer compatibility.
palo_alto_networks_vm_series_firewall,Virtual appliance - network/security,Not publicly supported,"Technical compatibility assessment for VM-Series Firewall on Citrix Hypervisor/XenServer, classified in the virtual appliance - network/security domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as not publicly supported.,Public sources for Palo Alto Networks indicate the level of support or limitation considered for XenServer compatibility.
cisco_secure_firewall_threat_defense_virtual,Virtual appliance - network/security,Not publicly supported,"Technical compatibility assessment for Secure Firewall Threat Defense Virtual on Citrix Hypervisor/XenServer, classified in the virtual appliance - network/security domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as not publicly supported.,Public sources for Cisco indicate the level of support or limitation considered for XenServer compatibility.
f5_big_ip_virtual_edition,Virtual appliance - network/security,Legacy,"Technical compatibility assessment for BIG-IP Virtual Edition on Citrix Hypervisor/XenServer, classified in the virtual appliance - network/security domain.",The assessment is based on public vendor documentation and the available XenServer-specific support evidence. Compatibility is classified as legacy.,Public sources for F5 indicate the level of support or limitation considered for XenServer compatibility.
