id,category_label,regulatory_status_label,short_description,compatibility_rationale,evidence_summary
commvault_commvault_cloud_virtual_server_agent_for_citrix_hypervisor,Backup,Soportado,"Evaluación técnica de compatibilidad de Commvault Cloud Virtual Server Agent for Citrix Hypervisor en Citrix Hypervisor/XenServer, clasificada en el dominio backup.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como soportado.,Las fuentes públicas de Commvault indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
bacula_systems_bacula_enterprise_xen_plugin,Backup,Soportado,"Evaluación técnica de compatibilidad de Bacula Enterprise Xen Plugin en Citrix Hypervisor/XenServer, clasificada en el dominio backup.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como soportado.,Las fuentes públicas de Bacula Systems indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
storware_storware_backup_and_recovery,Backup,Soportado,"Evaluación técnica de compatibilidad de Storware Backup and Recovery en Citrix Hypervisor/XenServer, clasificada en el dominio backup.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como soportado.,Las fuentes públicas de Storware indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
sep_sep_sesam,Backup,Soportado,"Evaluación técnica de compatibilidad de SEP sesam en Citrix Hypervisor/XenServer, clasificada en el dominio backup.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como soportado.,Las fuentes públicas de SEP indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
acronis_acronis_cyber_protect,Backup,Parcial,"Evaluación técnica de compatibilidad de Acronis Cyber Protect en Citrix Hypervisor/XenServer, clasificada en el dominio backup.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como parcial.,Las fuentes públicas de Acronis indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
veritas_backup_exec_25,Backup,Parcial,"Evaluación técnica de compatibilidad de Backup Exec 25 en Citrix Hypervisor/XenServer, clasificada en el dominio backup.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como parcial.,Las fuentes públicas de Veritas indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
veeam_veeam_backup_replication_v13,Backup,Parcial,"Evaluación técnica de compatibilidad de Veeam Backup & Replication v13 en Citrix Hypervisor/XenServer, clasificada en el dominio backup.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como parcial.,Las fuentes públicas de Veeam indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
microsoft_windows_11,Sistema operativo invitado,Soportado,"Evaluación técnica de compatibilidad de Windows 11 en Citrix Hypervisor/XenServer, clasificada en el dominio sistema operativo invitado.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como soportado.,Las fuentes públicas de Microsoft indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
microsoft_windows_server_2025,Sistema operativo invitado,Soportado,"Evaluación técnica de compatibilidad de Windows Server 2025 en Citrix Hypervisor/XenServer, clasificada en el dominio sistema operativo invitado.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como soportado.,Las fuentes públicas de Microsoft indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
red_hat_red_hat_enterprise_linux_9,Sistema operativo invitado,Soportado,"Evaluación técnica de compatibilidad de Red Hat Enterprise Linux 9 en Citrix Hypervisor/XenServer, clasificada en el dominio sistema operativo invitado.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como soportado.,Las fuentes públicas de Red Hat indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
red_hat_red_hat_enterprise_linux_10_preview,Sistema operativo invitado,Beta,"Evaluación técnica de compatibilidad de Red Hat Enterprise Linux 10 preview en Citrix Hypervisor/XenServer, clasificada en el dominio sistema operativo invitado.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como beta.,Las fuentes públicas de Red Hat indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
suse_suse_linux_enterprise_server_15_sp6,Sistema operativo invitado,Soportado,"Evaluación técnica de compatibilidad de SUSE Linux Enterprise Server 15 SP6 en Citrix Hypervisor/XenServer, clasificada en el dominio sistema operativo invitado.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como soportado.,Las fuentes públicas de SUSE indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
suse_suse_linux_enterprise_server_12_sp5,Sistema operativo invitado,Legacy,"Evaluación técnica de compatibilidad de SUSE Linux Enterprise Server 12 SP5 en Citrix Hypervisor/XenServer, clasificada en el dominio sistema operativo invitado.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como legacy.,Las fuentes públicas de SUSE indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
oracle_oracle_linux_8,Sistema operativo invitado,Soportado,"Evaluación técnica de compatibilidad de Oracle Linux 8 en Citrix Hypervisor/XenServer, clasificada en el dominio sistema operativo invitado.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como soportado.,Las fuentes públicas de Oracle indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
debian_debian_12_bookworm,Sistema operativo invitado,Soportado,"Evaluación técnica de compatibilidad de Debian 12 Bookworm en Citrix Hypervisor/XenServer, clasificada en el dominio sistema operativo invitado.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como soportado.,Las fuentes públicas de Debian indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
canonical_ubuntu_24_04_lts,Sistema operativo invitado,Soportado,"Evaluación técnica de compatibilidad de Ubuntu 24.04 LTS en Citrix Hypervisor/XenServer, clasificada en el dominio sistema operativo invitado.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como soportado.,Las fuentes públicas de Canonical indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
rocky_linux_rocky_linux_9,Sistema operativo invitado,Soportado,"Evaluación técnica de compatibilidad de Rocky Linux 9 en Citrix Hypervisor/XenServer, clasificada en el dominio sistema operativo invitado.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como soportado.,Las fuentes públicas de Rocky Linux indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
the_freebsd_project_freebsd,Sistema operativo invitado,Sin soporte público,"Evaluación técnica de compatibilidad de FreeBSD en Citrix Hypervisor/XenServer, clasificada en el dominio sistema operativo invitado.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como sin soporte público.,Las fuentes públicas de The FreeBSD Project indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
microsoft_sql_server,Base de datos,Parcial,"Evaluación técnica de compatibilidad de SQL Server en Citrix Hypervisor/XenServer, clasificada en el dominio base de datos.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como parcial.,Las fuentes públicas de Microsoft indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
microsoft_exchange_server,Colaboración,Parcial,"Evaluación técnica de compatibilidad de Exchange Server en Citrix Hypervisor/XenServer, clasificada en el dominio colaboración.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como parcial.,Las fuentes públicas de Microsoft indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
microsoft_sharepoint_server,Colaboración,Parcial,"Evaluación técnica de compatibilidad de SharePoint Server en Citrix Hypervisor/XenServer, clasificada en el dominio colaboración.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como parcial.,Las fuentes públicas de Microsoft indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
oracle_oracle_database,Base de datos,Sin soporte público,"Evaluación técnica de compatibilidad de Oracle Database en Citrix Hypervisor/XenServer, clasificada en el dominio base de datos.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como sin soporte público.,Las fuentes públicas de Oracle indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
oracle_oracle_fusion_middleware_weblogic_server,Middleware,Sin soporte público,"Evaluación técnica de compatibilidad de Oracle Fusion Middleware / WebLogic Server en Citrix Hypervisor/XenServer, clasificada en el dominio middleware.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como sin soporte público.,Las fuentes públicas de Oracle indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
sap_sap_hana_2_0,Base de datos,Sin soporte público,"Evaluación técnica de compatibilidad de SAP HANA 2.0 en Citrix Hypervisor/XenServer, clasificada en el dominio base de datos.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como sin soporte público.,Las fuentes públicas de SAP indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
sap_sap_business_one_version_for_sap_hana,ERP,Parcial,"Evaluación técnica de compatibilidad de SAP Business One version for SAP HANA en Citrix Hypervisor/XenServer, clasificada en el dominio erp.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como parcial.,Las fuentes públicas de SAP indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
zabbix_zabbix_xen_integration,Monitorización,Soportado,"Evaluación técnica de compatibilidad de Zabbix Xen integration en Citrix Hypervisor/XenServer, clasificada en el dominio monitorización.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como soportado.,Las fuentes públicas de Zabbix indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
paessler_prtg_xenserver_host_vm_sensors,Monitorización,Parcial,"Evaluación técnica de compatibilidad de PRTG XenServer Host/VM sensors en Citrix Hypervisor/XenServer, clasificada en el dominio monitorización.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como parcial.,Las fuentes públicas de Paessler indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
manageengine_opmanager_xenserver_monitoring,Monitorización,Soportado,"Evaluación técnica de compatibilidad de OpManager XenServer monitoring en Citrix Hypervisor/XenServer, clasificada en el dominio monitorización.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como soportado.,Las fuentes públicas de ManageEngine indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
solarwinds_server_application_monitor_citrix_hypervisor_template,Monitorización,Legacy,"Evaluación técnica de compatibilidad de Server & Application Monitor Citrix Hypervisor template en Citrix Hypervisor/XenServer, clasificada en el dominio monitorización.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como legacy.,Las fuentes públicas de SolarWinds indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
fortinet_fortigate_vm,Appliance virtual - red/seguridad,Soportado,"Evaluación técnica de compatibilidad de FortiGate-VM en Citrix Hypervisor/XenServer, clasificada en el dominio appliance virtual - red/seguridad.",La evaluación se basa en documentación pública del fabricante y en la evidencia disponible específica para XenServer. La compatibilidad se clasifica como soportado.,Las fuentes públicas de Fortinet indican el nivel de soporte o limitación considerado para la compatibilidad con XenServer.
