id,category_label,regulatory_status_label,short_description,compatibility_rationale,evidence_summary
commvault_commvault_cloud_virtual_server_agent_for_citrix_hypervisor,Backup,Supportato,Protezione hypervisor-aware per workload Citrix Hypervisor/XenServer con proxy residente su Xen e requisiti operativi dedicati.,Documentazione ufficiale specifica per Citrix Hypervisor/XenServer con requisiti e flusso operativo pubblici.,Commvault pubblica una pagina di system requirements dedicata a Citrix Hypervisor/XenServer con proxy VM su XenServer.
bacula_systems_bacula_enterprise_xen_plugin,Backup,Supportato,"Plugin enterprise per backup e restore image-level di VM XenServer tramite snapshot e XAPI, senza agent nei guest.",Plugin ufficiale XenServer con snapshot/XAPI e supporto block-level dichiarato dal vendor.,La documentazione Bacula descrive esplicitamente il plugin XenServer per backup snapshot/XAPI e restore granulari.
storware_storware_backup_and_recovery,Backup,Supportato,"Backup agentless di VM Citrix Hypervisor/XenServer con API XenServer, NBD e CBT per incrementali.",Documentazione tecnica esplicita su Citrix Hypervisor/XenServer con strategia full/incremental dichiarata.,"Storware documenta la protezione di Citrix Hypervisor/XenServer via XenServer API, NBD e CBT."
sep_sep_sesam,Backup,Supportato,Suite di backup multi-hypervisor con backup snapshot-based di VM Citrix XenServer e licenze specifiche per Citrix Hypervisor/XCP-ng.,Posizionamento ufficiale diretto su Citrix XenServer e materiale operativo/licensing pubblico.,SEP dichiara backup consistenti di VM Citrix XenServer e pubblica licenze dedicate per Citrix Hypervisor/XCP-ng.
acronis_acronis_cyber_protect,Backup,Parziale,Piattaforma di cyber protection con posizionamento commerciale corrente per backup e recovery di ambienti XenServer.,"Compatibilità dichiarata nelle pagine ufficiali, ma senza una matrice tecnica pubblica moderna chiaramente allineata a XenServer 8.4.",Acronis mantiene pagine ufficiali attuali che descrivono Cyber Protect come compatibile con Citrix XenServer.
veritas_backup_exec_25,Backup,Parziale,Protezione di workload guest su XenServer tramite Remote Agent; non emerge un supporto pubblico equivalente a backup agentless hypervisor-aware.,Supporto pubblico limitato alla protezione Remote Agent delle VM su XenServer.,La Software Compatibility List di Backup Exec indica che su XenServer è supportata solo la protezione Remote Agent-based delle VM.
veeam_veeam_backup_replication_v13,Backup,Parziale,Piattaforma di backup leader con protezione corrente via agent per VM Citrix/XenServer e supporto hypervisor nativo annunciato ma non ancora pubblicamente disponibile.,Assenza di supporto VM-level corrente per XenServer nella documentazione mainstream; ufficialmente sono citati agent e roadmap futura.,Veeam dichiara oggi altri hypervisor supportati; forum ufficiale indica l'uso di agenti su VM Citrix e il comunicato v13 parla di supporto XenServer in arrivo.
microsoft_windows_11,Sistema operativo guest,Supportato,"Desktop guest moderno supportato ufficialmente da XenServer 8.4, con VM Tools Windows e feature guest avanzate.",Guest OS elencato ufficialmente da XenServer 8.4 con feature support e tooling dedicato.,La tabella ufficiale guest OS di XenServer 8.4 include Windows 11 e ne riporta supporto funzionale ampio.
microsoft_windows_server_2025,Sistema operativo guest,Supportato,Server guest di ultima generazione supportato da XenServer 8.4 con nota specifica di installazione e supporto feature guest avanzate.,Supporto guest ufficiale esplicito con nota installativa specifica per Windows Server 2025.,XenServer 8.4 elenca Windows Server 2025 tra i guest supportati e pubblica una nota specifica sul boot con doppio disco.
red_hat_red_hat_enterprise_linux_9,Sistema operativo guest,Supportato,"Distribuzione enterprise Linux supportata ufficialmente come guest XenServer 8.4, con supporto a VM Tools Linux recenti.",Guest OS ufficiale XenServer 8.4 con feature matrix e indicazioni sui VM Tools.,RHEL 9 compare nella matrice ufficiale dei guest supportati di XenServer 8.4.
red_hat_red_hat_enterprise_linux_10_preview,Sistema operativo guest,Beta,"Preview guest di nuova generazione presente nella matrice XenServer 8.4 come supporto preliminare, non produzione piena.","Il vendor hypervisor lo classifica come preview, quindi il supporto pubblico è pre-release.",La matrice guest OS di XenServer 8.4 include RHEL 10 come preview.
suse_suse_linux_enterprise_server_15_sp6,Sistema operativo guest,Supportato,Distribuzione Linux enterprise supportata ufficialmente come guest su XenServer 8.4.,Guest OS ufficiale XenServer 8.4 con supporto dichiarato nella matrice pubblica.,SLES 15 SP5/SP6 è elencato nella tabella ufficiale dei guest supportati di XenServer 8.4.
suse_suse_linux_enterprise_server_12_sp5,Sistema operativo guest,Legacy,Release Linux enterprise ancora presente nella matrice ma marcata come deprecata.,"Presenza ufficiale ma con deprecation esplicita, quindi non baseline consigliata per nuovi progetti.","XenServer 8.4 mantiene SLES 12 SP5 nella lista, ma lo marca esplicitamente come deprecated."
oracle_oracle_linux_8,Sistema operativo guest,Supportato,Distribuzione enterprise Oracle supportata ufficialmente come guest Linux su XenServer 8.4.,Guest OS ufficiale XenServer 8.4 con indicazioni di supporto dirette.,Oracle Linux 8 è presente nella matrice guest OS di XenServer 8.4.
debian_debian_12_bookworm,Sistema operativo guest,Supportato,Distribuzione Debian stabile supportata ufficialmente come guest su XenServer 8.4.,Guest OS ufficialmente elencato dal vendor hypervisor.,Debian Bookworm 12 compare nella matrice ufficiale dei guest XenServer 8.4.
canonical_ubuntu_24_04_lts,Sistema operativo guest,Supportato,Distribuzione Ubuntu LTS moderna supportata ufficialmente come guest Linux su XenServer 8.4.,Guest OS ufficialmente elencato con feature support dedicate.,Ubuntu 24.04 è incluso nella lista ufficiale di guest supportati di XenServer 8.4.
