id,vendor_name,product_name,category_key,compatibility_index,regulatory_status_key,source_date,source_urls
commvault_commvault_cloud_virtual_server_agent_for_citrix_hypervisor,Commvault,Commvault Cloud Virtual Server Agent for Citrix Hypervisor,backup,92,supported,2026-04-14,https://documentation.commvault.com/v11/software/citrix_hypervisor_xenserver_system_requirements.html
bacula_systems_bacula_enterprise_xen_plugin,Bacula Systems,Bacula Enterprise Xen Plugin,backup,90,supported,n.d.,https://docs.baculasystems.com/BEDedicatedBackupSolutions/Virtualization/Hypervisors/xen/index.html
storware_storware_backup_and_recovery,Storware,Storware Backup and Recovery,backup,88,supported,n.d.,https://docs.storware.eu/protecting-virtual-machines/virtual-machines/citrix-hypervisor-xenserver
sep_sep_sesam,SEP,SEP sesam,backup,87,supported,n.d.,https://www.sepsoftware.com/solutions/multi-hypervisor-essential/citrix-hypervisor/ | https://www.sepsoftware.com/fileadmin/user_upload/Partner_Lounge/Downloads_EN/CLASSIC_2.0K2_EN.pdf
acronis_acronis_cyber_protect,Acronis,Acronis Cyber Protect,backup,78,partial,2026-04-03,https://www.acronis.com/en/solutions/backup/virtual/citrix-xen-server-backup-recovery/ | https://care.acronis.com/s/article/Acronis-Cyber-Protect-Acronis-Cyber-Backup-agent-based-and-agentless-backup-of-virtual-machines?language=en_US
veritas_backup_exec_25,Veritas,Backup Exec 25,backup,62,partial,2025-10-30,https://www.veritas.com/support/en_US/doc/BE_25_SCL
veeam_veeam_backup_replication_v13,Veeam,Veeam Backup & Replication v13,backup,35,partial,2025-11-19,https://www.veeam.com/blog/veeam-supported-hypervisors.html | https://forums.veeam.com/veeam-backup-replication-f2/urgently-i-need-a-help-about-backup-citrix-vms-using-veeam-backup-t73693.html | https://www.veeam.com/company/press-release/veeam-data-platform-v13-cyber-resilience-data-protection-security-ai.html
microsoft_windows_11,Microsoft,Windows 11,guest_os,98,supported,2025-12-18,https://docs.xenserver.com/en-us/xenserver/8/system-requirements/guest-os-support.html | https://docs.xenserver.com/en-us/xenserver/8/vms/windows/vm-tools.html
microsoft_windows_server_2025,Microsoft,Windows Server 2025,guest_os,97,supported,2025-12-18,https://docs.xenserver.com/en-us/xenserver/8/system-requirements/guest-os-support.html
red_hat_red_hat_enterprise_linux_9,Red Hat,Red Hat Enterprise Linux 9,guest_os,96,supported,2025-12-18,https://docs.xenserver.com/en-us/xenserver/8/system-requirements/guest-os-support.html
red_hat_red_hat_enterprise_linux_10_preview,Red Hat,Red Hat Enterprise Linux 10 preview,guest_os,70,beta,2025-12-18,https://docs.xenserver.com/en-us/xenserver/8/system-requirements/guest-os-support.html
suse_suse_linux_enterprise_server_15_sp6,SUSE,SUSE Linux Enterprise Server 15 SP6,guest_os,95,supported,2025-12-18,https://docs.xenserver.com/en-us/xenserver/8/system-requirements/guest-os-support.html
suse_suse_linux_enterprise_server_12_sp5,SUSE,SUSE Linux Enterprise Server 12 SP5,guest_os,58,legacy,2025-12-18,https://docs.xenserver.com/en-us/xenserver/8/system-requirements/guest-os-support.html
oracle_oracle_linux_8,Oracle,Oracle Linux 8,guest_os,94,supported,2025-12-18,https://docs.xenserver.com/en-us/xenserver/8/system-requirements/guest-os-support.html
debian_debian_12_bookworm,Debian,Debian 12 Bookworm,guest_os,93,supported,2025-12-18,https://docs.xenserver.com/en-us/xenserver/8/system-requirements/guest-os-support.html
canonical_ubuntu_24_04_lts,Canonical,Ubuntu 24.04 LTS,guest_os,93,supported,2025-12-18,https://docs.xenserver.com/en-us/xenserver/8/system-requirements/guest-os-support.html
rocky_linux_rocky_linux_9,Rocky Linux,Rocky Linux 9,guest_os,91,supported,2025-12-18,https://docs.xenserver.com/en-us/xenserver/8/system-requirements/guest-os-support.html
