id,category_key,subcategory_key,capability_key,scope_key
traffic_management_load_balancing_l4_load_balancing,traffic_management,load_balancing,l4_load_balancing,datacenter_cloud
traffic_management_load_balancing_l7_content_switching,traffic_management,load_balancing,l7_content_switching,datacenter_cloud
traffic_management_load_balancing_global_server_load_balancing_gslb,traffic_management,load_balancing,global_server_load_balancing_gslb,multi_site
traffic_management_availability_high_availability_ha,traffic_management,availability,high_availability_ha,datacenter
traffic_management_availability_health_monitoring,traffic_management,availability,health_monitoring,datacenter_cloud
traffic_management_optimization_ssl_offload,traffic_management,optimization,ssl_offload,datacenter_cloud
traffic_management_optimization_ssl_bridging,traffic_management,optimization,ssl_bridging,datacenter_cloud
traffic_management_optimization_compression,traffic_management,optimization,compression,datacenter_cloud
traffic_management_optimization_caching,traffic_management,optimization,caching,datacenter_cloud
traffic_management_optimization_http_multiplexing,traffic_management,optimization,http_multiplexing,datacenter_cloud
application_delivery_web_applications_content_rewriting,application_delivery,web_applications,content_rewriting,datacenter_cloud
application_delivery_web_applications_responder_policies,application_delivery,web_applications,responder_policies,datacenter_cloud
application_delivery_microservices_kubernetes_ingress_controller,application_delivery,microservices,kubernetes_ingress_controller,kubernetes
application_delivery_microservices_container_adc_cpx_blx,application_delivery,microservices,container_adc_cpx_blx,kubernetes
security_waf_web_application_firewall,security,waf,web_application_firewall,datacenter_cloud
security_waf_bot_management,security,waf,bot_management,datacenter_cloud
security_threat_intelligence_ip_reputation,security,threat_intelligence,ip_reputation,datacenter_cloud
security_ddos_ddos_protection,security,ddos,ddos_protection,datacenter_cloud
security_api_security_api_protection,security,api_security,api_protection,datacenter_cloud
security_compliance_fips_support,security,compliance,fips_support,settori_regolamentati
access_management_vpn_ssl_vpn,access_management,vpn,ssl_vpn,remote_access
access_management_ztna_secure_private_access_integration,access_management,ztna,secure_private_access_integration,hybrid_cloud
access_management_authentication_nfactor_authentication,access_management,authentication,nfactor_authentication,enterprise
access_management_authentication_adaptive_authentication,access_management,authentication,adaptive_authentication,enterprise
access_management_federation_saml_federation,access_management,federation,saml_federation,enterprise
access_management_federation_oauth_openid_connect,access_management,federation,oauth_openid_connect,saas
citrix_integration_hdx_ica_proxy,citrix_integration,hdx,ica_proxy,citrix
citrix_integration_hdx_hdx_insight,citrix_integration,hdx,hdx_insight,citrix
observability_monitoring_netscaler_console,observability,monitoring,netscaler_console,enterprise
observability_analytics_web_insight_e_app_analytics,observability,analytics,web_insight_e_app_analytics,enterprise
